p,q,total_time
6,24,5.375400
6,24,5.360313
7,24,5.351911
7,24,5.358391
7,24,5.358256
7,24,5.358323
7,24,5.352849
8,24,5.376667
8,24,5.362530
8,24,5.365057
8,24,5.367988
8,24,5.365333
